,cmte_id,cmte_nm,name,file_year,other_id,sum
125,C00079541,NARAL PRO-CHOICE AMERICA PAC,JULIE LASSA FOR CONGRESS,2010,C00483198,10000.0
126,C00079541,NARAL PRO-CHOICE AMERICA PAC,JULIA BROWNLEY FOR CONGRESS,2012,C00513077,10000.0
127,C00079541,NARAL PRO-CHOICE AMERICA PAC,CARMONA FOR ARIZONA,2012,C00506022,10000.0
128,C00079541,NARAL PRO-CHOICE AMERICA PAC,CAROL SHEA-PORTER FOR CONGRESS,2012,C00419978,10000.0
129,C00079541,NARAL PRO-CHOICE AMERICA PAC,CARROLL FOR COLORADO,2016,C00580647,10000.0
130,C00079541,NARAL PRO-CHOICE AMERICA PAC,CATHERINE CORTEZ MASTO FOR SENATE,2016,C00575548,10000.0
131,C00079541,NARAL PRO-CHOICE AMERICA PAC,CHC BOLD PAC,2020,C00365536,10000.0
132,C00079541,NARAL PRO-CHOICE AMERICA PAC,CHC BOLD PAC,2022,C00365536,10000.0
133,C00079541,NARAL PRO-CHOICE AMERICA PAC,CHERI BEASLEY FOR NORTH CAROLINA,2022,C00777904,10000.0
134,C00079541,NARAL PRO-CHOICE AMERICA PAC,CHRIS PAPPAS FOR CONGRESS,2022,C00660464,10000.0
135,C00079541,NARAL PRO-CHOICE AMERICA PAC,CHRISTIE VILSACK FOR IOWA,2012,C00495598,10000.0
136,C00079541,NARAL PRO-CHOICE AMERICA PAC,CICILLINE COMMITTEE,2012,C00476564,10000.0
137,C00079541,NARAL PRO-CHOICE AMERICA PAC,CONGRESSIONAL BLACK CAUCUS PAC,2020,C00147512,10000.0
138,C00079541,NARAL PRO-CHOICE AMERICA PAC,CONGRESSIONAL BLACK CAUCUS PAC,2022,C00147512,10000.0
139,C00079541,NARAL PRO-CHOICE AMERICA PAC,CONGRESSIONAL PROGRESSIVE CAUCUS PAC,2020,C00513176,10000.0
140,C00079541,NARAL PRO-CHOICE AMERICA PAC,CONGRESSIONAL PROGRESSIVE CAUCUS PAC,2022,C00513176,10000.0
141,C00079541,NARAL PRO-CHOICE AMERICA PAC,ARCURI FOR CONGRESS,2010,C00418541,10000.0
142,C00079541,NARAL PRO-CHOICE AMERICA PAC,DAN SEALS FOR CONGRESS,2010,C00417501,10000.0
143,C00079541,NARAL PRO-CHOICE AMERICA PAC,ASPIRE PAC,2022,C00506907,10000.0
144,C00079541,NARAL PRO-CHOICE AMERICA PAC,WARNOCK FOR GEORGIA,2020,C00736876,10000.0
145,C00079541,NARAL PRO-CHOICE AMERICA PAC,DELBENE FOR CONGRESS,2010,C00459099,10000.0
146,C00079541,NARAL PRO-CHOICE AMERICA PAC,VAL DEMINGS FOR CONGRESS,2012,C00498980,10000.0
147,C00079541,NARAL PRO-CHOICE AMERICA PAC,UDALL FOR COLORADO,2014,C00331439,10000.0
148,C00079541,NARAL PRO-CHOICE AMERICA PAC,TRIVEDI FOR CONGRESS,2012,C00466607,10000.0
149,C00079541,NARAL PRO-CHOICE AMERICA PAC,DENNY HECK FOR CONGRESS,2012,C00472159,10000.0
150,C00079541,NARAL PRO-CHOICE AMERICA PAC,TINA SMITH FOR MINNESOTA,2020,C00663781,10000.0
151,C00079541,NARAL PRO-CHOICE AMERICA PAC,TAMMY BALDWIN FOR SENATE,2012,C00326801,10000.0
152,C00079541,NARAL PRO-CHOICE AMERICA PAC,SUSAN WILD FOR CONGRESS,2022,C00658567,10000.0
153,C00079541,NARAL PRO-CHOICE AMERICA PAC,STEPHANIE HERSETH SANDLIN FOR SOUTH DAKOTA,2010,C00367631,10000.0
154,C00079541,NARAL PRO-CHOICE AMERICA PAC,MONTANANS FOR TESTER,2012,C00412304,10000.0
155,C00079541,NARAL PRO-CHOICE AMERICA PAC,ELECT DEMOCRATIC WOMEN,2020,C00685297,10000.0
156,C00079541,NARAL PRO-CHOICE AMERICA PAC,ELECT DEMOCRATIC WOMEN,2022,C00685297,10000.0
157,C00079541,NARAL PRO-CHOICE AMERICA PAC,ELIZABETH FOR MA,2012,C00500843,10000.0
158,C00079541,NARAL PRO-CHOICE AMERICA PAC,BENNET FOR COLORADO,2010,C00458398,10000.0
159,C00079541,NARAL PRO-CHOICE AMERICA PAC,SHELLEY ADLER FOR CONGRESS,2012,C00512475,10000.0
160,C90004185,NARAL PRO-CHOICE AMERICA,76 WORDS,2020,S8MI00372,10000.0
161,C00079541,NARAL PRO-CHOICE AMERICA PAC,SHARICE FOR CONGRESS,2022,C00670034,10000.0
