,cmte_id,cmte_nm,name,other_id,sum
120,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",ANGIE CRAIG FOR CONGRESS,C00575209,8910.0
121,C90016510,PLANNED PARENTHOOD ADVOCATES OF WISCONSIN POLITICAL FUND,THE OUTREACH TEAM,S2WI00441,8814.0
122,C00742080,"PLANNED PARENTHOOD ALLIANCE PAC , SERVING WA, AK, ID, HI, IN, KY",CLEAN SWEEP CAMPAIGNS,H2WA08182,7689.0
123,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",KATHERINE CLARK FOR CONGRESS,C00541888,7500.0
124,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",CONGRESSIONAL PROGRESSIVE CAUCUS PAC,C00513176,7500.0
125,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",LGBTQ VICTORY FUND FEDERAL PAC,C00476978,7500.0
126,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",CHC BOLD PAC,C00365536,7500.0
127,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",HOYER FOR CONGRESS,C00140715,7500.0
128,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",JEFFRIES FOR CONGRESS,C00503052,7500.0
129,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",ELECT DEMOCRATIC WOMEN,C00685297,7500.0
130,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",NANCY PELOSI FOR CONGRESS,C00213512,7500.0
131,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",BOOKER FOR KENTUCKY,C00783274,7500.0
